"","M113T44_pos","M116T39_pos","M108T41_pos","M188T297_pos","M494T646_pos","M116T48_pos","M220T38_pos","M263T291_pos","M124T33_pos","M180T38_pos","M245T46_2_neg","M275T47_neg","M191T82_neg","M242T59_neg","M322T53_neg","M199T46_neg","M258T41_neg","M339T37_neg","M259T42_neg","M195T42_2_neg","M306T80_neg","M171T43_2_neg","M282T218_neg","M135T43_2_neg","M160T262_neg","M347T101_neg","M160T45_neg","M173T36_neg","M174T41_neg","M130T119_neg","M203T264_neg","M133T56_neg","M188T114_neg","M122T103_neg","M288T106_neg","M164T229_neg","M87T82_neg","M375T333_neg","M124T38_1_neg","M180T105_neg","M243T133_neg","M323T72_neg","M151T114_neg","M283T230_neg","M204T285_neg"
"4",1.16001485045992,-2.83227678285603,-0.425682091940857,0.148164418890821,-1.22864943905883,-0.478304562520435,0.0286532149821086,-1.46470451214446,0.0854535436942108,-0.12689021170443,-1.06691588539102,0.283337805778432,-0.417542912178296,0.138737846589781,-1.51318664326917,0.121256491570093,-0.399991031127912,0.0322070918926504,0.878409622614309,3.16777699325869,-0.449849084794598,-0.148082738149588,1.88082361669398,-0.0806793462729849,2.31019748264105,3.77852331678341,0.341142426270485,-0.720590256002446,1.02260432248068,-0.427803399997421,2.97641543925755,2.19025132645564,0.138761739380734,-0.73576212260408,-0.560019860778113,0.765326976622027,-0.941158606802251,-0.220986793601339,-2.77202625669027,2.00109377989906,0.331566462999647,-1.6345599184802,3.43529449858493,-0.943766727536888,2.11700503887143
"10",-0.605810016102935,0.462930408877844,-0.60264711455114,-1.15105248882104,-1.27968103958751,-4.06305801710851,0.257602309227896,-0.577575674306344,-0.377223500489856,0.186450985073324,0.61080813180047,0.4914743810122,-2.8140446124244,0.414546877504463,-0.478292218443187,0.35126124304281,0.662308768399442,-0.108163485943506,1.84005615432032,-1.40596646263337,0.701447967716997,0.841566842974923,-0.959361594779208,0.24667532222268,-0.704580236605314,15.2445548217461,0.238009136321203,0.235986149033608,-0.432671887615138,-0.348882799892141,-7.35846000773334,3.50752874744501,-0.617458413566387,-0.142270307241953,0.549934403531954,-0.427415346277339,-1.29407576696323,-0.705755255332067,-0.64051467053019,-0.252152293332501,-1.48660405915713,0.522303938023617,-0.781799911563008,-1.17979860839003,-3.49037852259316
"14",0.0915572772141773,0.622540874591845,1.11737823496675,0.491237247312118,0.142370065571868,-0.998981549908843,-0.0392598018082776,1.12223967819401,0.87578186586171,-0.24436656185554,0.8999552630831,-0.183974425362727,-1.5044844963002,0.678596910254979,-1.09284149772705,-0.298486642042824,1.49355347257761,-0.138579072726676,-0.670376331581881,3.99353889649311,-0.375681928294332,-0.545772765336088,0.767535507455535,-0.436813367290565,0.435364739683798,-6.89123188355416,0.0569581477636537,1.35249291270907,-0.529158773698531,-0.700297145838391,-4.35954592836968,-0.414607057056361,-0.395908338527748,-0.580502689230469,-0.625283612335628,-1.21064300489361,-2.09265445618706,-0.233616392989431,2.24658781380457,-1.61965484615043,0.559793186331758,0.0975122755370619,2.62348813640508,-0.542642816476126,0.892937212422208
"23",-2.17227186118998,-1.85959933065431,-1.04859485872824,0.339227698277353,0.521542852645551,3.70205844051795,-0.476043281974055,0.393047776360499,-0.862367282784394,-0.334981355160803,-0.461507214298653,-0.252059810582205,3.55736055853276,-0.239359555087001,0.863978955562577,-0.189469182669366,-0.0400105583414077,-0.267204980199793,-2.71415392870011,11.2772014019483,-0.247231209727604,-1.76041275562367,-2.12588686274239,-0.643193529335102,-0.769007471916733,2.54273334790857,-0.57241865517426,-0.565945711713884,-0.920001572309325,-0.502076115293211,-0.650522350969032,-0.567980097172929,0.17988399892286,-0.511257697942522,-0.222735111674755,-0.525474474124895,1.12264121397591,-0.114736976476539,-3.36216135885285,1.26433444940144,0.423800948290954,2.10826089035092,3.20269643189761,2.260653490329,0.381161130408556
"29",-2.15146850494508,2.6945735949531,-0.914864713653237,-0.618697857029723,-1.22381595489434,-1.59731598728492,0.0750849237926767,-1.16770289703966,0.324740423588577,0.141916476386533,1.73992174915429,-0.147311327249435,-0.616021187325268,-0.0597482180821074,0.98250452986842,0.360479717702797,0.13288123280255,-0.243427438677473,-2.16382907155579,-1.45239493567603,1.23982967203732,-3.16099827709176,-2.86684321743099,-0.446001813525979,-0.64718293498151,8.60879367717999,-0.0850836320612851,-0.387773534361029,-0.919155837912019,-0.402848663363839,-6.27755032036125,1.25928187214437,-0.147036228331503,0.100658744782802,0.800623541781467,0.103424638989814,-0.556228916172492,-1.0204979391842,-2.31981281147583,-4.23470117076424,1.26984033300695,0.275802720801119,1.50963134329785,2.2506554604864,-1.18098410041777
"33",1.93516181173327,-2.60755217246347,-1.07705843719281,-0.637375810807445,-1.56464747700014,3.7218954563027,-0.413084540489188,-1.21088106444014,-0.602563325586411,-0.602729356283971,-0.873802835309633,-0.330844371376219,-0.205306374705871,-0.482281944309001,-0.970517434233167,-0.295430345645817,-0.714996236487751,-0.269555812377023,-0.274893719955334,10.0917041681437,-0.428010778330543,-1.49312599553427,-1.2242548594611,-0.517764999149863,-0.980020448460321,0.880913853427533,-0.528854643416209,-1.294234169471,0.0610133140971792,-0.0393968871992128,2.07806874103173,-1.06175070214559,0.317251309719655,-0.67088278726771,-0.497216010363097,0.0369197018727363,0.990258463496736,0.20598732613872,-4.27368422824782,-1.58880294340722,-0.0876454932424292,-3.39101122975273,2.66863331773704,-0.311388345647322,-0.397111368142174
"39",-0.527549931447855,1.63498481068438,-0.85738617142934,-0.541924377628339,0.513425913548086,1.15019445427096,-0.0068752646875134,-1.05647470077404,0.125413075245012,0.0567034511397739,0.88254840758413,-0.192329257973238,-4.01915048306535,-0.235187680128434,2.14996998648337,-0.0956563426153692,-0.769275091016004,-0.241306566162325,-2.97461219465051,-0.807257139046144,-0.196897497633822,-2.4683642928976,-3.16985102446704,-0.395579964231851,-0.172860178565979,6.09069719881332,-0.422209578067239,-0.689825687868182,-0.694557335425204,-1.04620977376444,-4.40051778547033,-2.5134627848981,0.327686556298929,-0.184442966265254,1.24970584192237,-0.777866610610026,-1.77055953033524,-0.334094751759476,-3.51155817133664,0.589665177883443,0.253838662365685,1.3779429902353,0.76219868047104,1.32577856810398,-1.58896456135566
"43",1.71793033713708,-1.14593793795955,-0.7148155385227,0.488480459479503,-1.53055942278402,4.32681731080222,-0.37182751488406,1.01230041753044,-0.394722539352559,-0.314399858550886,-0.623721952419185,-0.477731397970705,0.250342638021484,-0.539981658232865,-1.26515827940132,-0.38854943037495,-1.10110005478426,-0.255434223153999,-3.34015170298841,-1.20538554112384,-0.428662963734672,-3.11462665266913,-1.44967753583115,-0.264388462158484,1.13012227708906,1.80203347848352,0.198867007283305,-0.990051151076098,0.450703869421997,-0.186693862974081,0.54440604655293,-1.07294009696541,0.516563937124772,-0.557310568674653,-0.0863128405892177,0.881531497273103,0.250362790966891,0.642591269822019,-3.72006718742798,-0.361086719658532,2.51311837739912,-2.6371581981295,2.32580511940115,2.11235982940179,0.69502092643432
"49",-1.77310411843359,-0.576695197879039,-1.1098053219833,-0.910318050021757,-0.188932546504339,-2.64755253901125,-0.111663255030979,-0.839589792244682,0.476040368148364,-0.0922177129248022,1.03839150321304,0.239143735782797,-0.416008932641557,-0.277102241649205,1.49028502806725,0.0746985028280747,0.00730077428615942,-0.240107527776083,-1.779516765999,-1.38735215214194,0.933491346621371,-1.70041223951827,-2.65729645242452,-0.478418808570855,-1.49749196640782,14.4504074855171,-0.350033646550519,-0.71153801108909,-0.850936178226171,-0.567374166889798,-3.51968578250189,-1.75575726042757,-0.0178906837316787,0.0209153637442364,0.608906388559277,0.0266820006453531,-0.471236875292033,-0.928260394927534,-2.53171509650605,-1.69827421418676,-0.420202346749143,2.45554791082057,1.35569048194913,1.74090379738156,-2.3326430320949
"53",1.89907550205559,-0.667011446849383,0.522459581145398,2.91960751028236,-0.254114689727158,3.07693634171789,-0.0587389299815252,0.426731350054221,-0.338389676610291,-0.108820608724388,-1.04908242983924,-0.0973240514784575,-0.381819219436984,-0.275986188963465,-0.716115819018608,-0.586620677717373,-0.575792545470113,0.0757055250645023,0.0272933168846932,-0.233655454786312,-0.429877710913057,-0.626109205391575,2.66024895799938,0.109908565864413,2.50297296730134,-2.09288960881669,0.602577672340749,-0.430554119902212,0.922061142746478,-0.230875864528833,3.14936584372314,2.4116230366455,0.237239979679179,-0.441825776168848,-0.0903709832090066,0.215655468913284,-0.87719487559603,0.221727863234578,0.0841979666038972,1.33836958050473,-0.190793703622033,-1.75891008023112,0.800678115459806,0.287803849138746,7.17400986309192
"59",-0.0289040605323366,0.422982524756118,0.736937050353142,-1.1064988477023,1.50339591054625,-2.93054783995946,-0.128338852142973,-0.783643548067208,-1.07005695778809,-0.20086222907629,1.39212988732807,0.115648125301819,-3.87967175424405,1.08329533622279,-0.0874654751678475,0.111603710349234,1.94062902680272,1.07621889994175,6.42170656873481,-1.25229319987136,0.171836220315989,3.72049749513765,-1.5486526865461,-0.00730389412780042,-0.328974434349357,4.14378159100708,0.224701474116253,1.04281654801374,-0.17718269187947,-0.649683172821416,-6.34326785430005,0.824695974312985,-0.557164698101874,-0.108771855004773,-0.0881082719917525,-1.08378718302494,-2.44754691445403,-0.393139535699685,3.16616190874943,1.78027595522863,-3.99821912929673,3.58170039107713,4.37848731967036,-2.79812697875908,-3.55710074295357
"63",-0.691308394725033,-2.50598122788473,-0.876242872048418,1.49392247093466,-0.597774523084757,2.02915178043223,-0.407904235725428,0.377842388115333,-0.754576590395652,-0.253310779536941,-0.241438199621506,-0.199916005380345,0.213198439241349,-0.369517817719058,-0.776312525304203,-0.183594575505566,0.0326210339561438,-0.210080771999736,0.124911273812185,-0.673237952297852,-0.591293255942261,1.01426385876076,0.915744303690048,-0.536909865602328,1.34206435120224,2.61050537110712,-0.209700048386504,-0.842856264619497,-0.403548956405844,-0.0261524920154634,2.11010074774901,0.530232874135561,0.302543739003087,-0.4052349957352,-0.106375625447182,0.369398952486851,0.986924111501307,0.532744632963018,-4.00786232720269,-1.02018268126183,2.1341669077049,-1.93330127941758,3.11412070561732,0.047792533538676,5.50916434409381
"69",-2.14039831507327,2.17080380468556,-0.373772418597891,0.0243733384512366,-1.57432638589611,0.398545660774422,0.264569046999015,-0.970085092247286,0.35517236168929,0.35811931630748,0.868135811572592,-0.264241221853216,-1.24877365403491,0.179268845336919,-0.682833784374047,-0.160935487408884,0.5923840387481,-0.0155839518894697,-1.74070744577216,-1.3631557255094,-0.275385987633607,-0.238213851592892,-1.72571411884632,-0.106396586455935,1.29239631503499,-1.95469580604042,0.0648957462679082,0.217257578418963,-0.918094775868678,-0.673295170001264,-0.978078814306603,1.007075013427,-0.178260931428179,0.710604362649497,0.628317934109401,-0.749878580013865,-0.286781259489774,-0.0973638563872961,0.289764247853652,2.42524534855331,-1.35745098670402,-1.39810619860318,-2.40769214825097,-1.46956237419729,-0.608888596687718
"123",-2.11755136770712,1.00273975759714,0.0291807060924089,2.19726727019222,-1.02910748687071,5.31317405567157,-0.308768487316595,0.475653021677448,-0.212233110748105,-0.0709194191575713,-0.854349429015656,-0.384663144056736,2.48084728259417,-0.463912021762065,0.889697202548864,-0.279659444430789,-0.988025701373615,-0.211913090525094,-0.64467364439621,-0.760418876366882,-0.303360807385962,0.312276626580612,0.937891159449896,0.229064106647907,2.32587541595028,-2.12467193908761,0.445192983358828,-0.294677083646146,-0.876018836526639,0.356692552843501,-3.08743304638382,0.413728584407337,0.190292650697166,-0.226712071667065,0.270020316691494,0.969921564036748,1.63218300335132,0.036811811462407,-2.34451334554395,1.0437561751167,3.35482821667495,-2.40776833303645,0.546876308290051,1.46756959550006,4.87397780702885
"129",-0.823853895039135,4.7496855960824,8.65975151698649,0.307706698820736,0.564281681005178,-2.92892871268472,1.6530257897886,-1.12741222122947,2.34606016336724,1.30953870269518,1.22160891993209,2.98549274705648,-6.23424772215306,2.24381842893862,-1.17737808852813,2.97748191761194,3.02550659251047,2.11688492514609,0.490194343813437,-1.48782561285891,2.30502717194183,-1.25248267868604,-4.10186836620742,5.5181343208129,-1.64951977135655,-10.212099098184,1.65214979986407,7.96875853633544,0.373289557575278,1.19792429616196,-14.774801914456,-7.9021121311302,0.45431454076007,1.97979970760546,-0.298244715503316,-3.29837935160628,-1.73765307506732,-1.10188086956855,31.3664372540951,-8.6924254987989,-7.89274474447225,-1.21504963836509,-2.24753334843111,-5.61003548436831,-5.79068961555968
"133",0.529917261097699,-1.89562326905009,0.0210037428601159,0.323277895072014,-1.27592642134389,1.69314483843487,-0.0776342916103972,-0.317118602092302,-0.86222330883409,-0.124128861571433,-0.496034378309954,-0.110869882702368,-0.507679577374235,-0.065703189538812,-0.570812959506365,-0.0477203984624926,-0.0958120881891764,-0.0390921535323233,1.0987903169393,-1.33478659322029,-0.538374227442001,1.19335934060753,2.16131524409432,-0.49198703770149,1.43710478597298,3.20045012584116,-0.348117164122727,-0.621931545407605,0.403051876973968,0.451024337199126,3.4136121938894,1.26438282416103,-0.477509133892122,-0.24622759669454,-0.474226771094659,0.281266678262856,-0.449306166437555,-0.0478288341507234,-1.16619504519115,0.645891572820429,2.89755935478335,-1.98561453692407,1.09821337117159,1.22903829371486,0.773750683715292
"139",-0.858145984508787,-1.0739059532627,-0.738341540183734,-0.049784852837063,3.26842547783238,-2.47689086088765,-0.135262736694865,-0.469583424063961,-0.0422662305835765,-0.00537876689814552,0.671537430285558,-0.221566217478484,0.864678200889038,0.0167850712297888,1.13806217523605,-0.324461406375476,1.12169671279001,0.00291737834982421,0.73677758544213,-1.12222957469835,-0.126585858657442,2.36534802901988,-0.805881977948303,-0.0767888277969597,-0.14364498049707,-0.791683116184367,0.258566335441131,0.26560799795605,-0.547350260437621,-0.528669394067144,1.19135181204179,0.65843077476275,-0.443853036600996,0.224710843768183,0.592348889586123,-0.85270309217888,0.586338441692717,0.251983647914233,-0.0506764214717666,-0.804316951416102,-1.87512167944165,1.28393055279533,-0.420481960013433,-1.66627900933035,2.45793978181925
"143",3.27702233181195,-2.0624668516302,-0.849500204077222,1.34773563678361,-0.32172091143549,5.8016693725524,-0.496603702124047,0.294530076210739,-1.18832265648413,-0.528213891866002,-0.996480026459467,-0.770442558959751,-2.08608649691565,-0.587904088688578,-0.838793413552699,-0.161709257104141,-0.876760660197533,-0.220021609735396,-0.796079182979083,3.31767081722779,-0.492051599721662,0.440196289003956,2.47996284077281,-0.557990330970277,-0.255072827668172,-0.822290827801325,-0.707283588803058,-1.28780197267489,1.14753692831311,0.83727556175227,5.29474143098748,0.103895024507003,1.03232925687428,-0.557556265206581,-0.499847909075711,1.0201495499124,-0.503999096949824,-0.526029545387148,-2.14258618085811,1.61783543874702,2.91716576642818,-1.25438722598378,-0.675746065402411,0.59232310578219,4.62832914870336
"149",-0.577016199738999,4.3163917467205,7.78541118309061,0.826993264004131,2.32680042780646,-1.94596668151087,1.43663984947289,0.317640677261315,4.17806469659739,1.34145286686348,0.839258268724643,2.4698753247889,-6.46881672430593,1.9405818339343,-1.52472837595549,3.62444959059153,1.95155504079022,1.18580792912914,2.77596364499697,-1.4395081699678,1.57429020592909,1.38929751943156,-2.76259875789967,3.72485493504788,0.26297134333519,-10.7368690481856,2.04593046976097,6.10955690033265,0.95097690901707,0.411850882268307,-11.7604335869108,-7.95767116874107,-0.334022723445538,2.12490732772227,0.588486612195919,-2.79974201728203,-2.21833768923989,-0.449262734014009,25.9616591546546,-6.35194296034564,-7.68943687698936,-0.477347813310981,-2.12201625714625,-5.0799331495001,-4.47679081527678
