"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60","PC61","PC62","PC63","PC64","PC65","PC66","PC67","PC68","PC69","PC70","PC71","PC72","PC73","PC74","PC75","PC76","PC77","PC78","PC79","PC80","PC81","PC82","PC83","PC84","PC85","PC86","PC87","PC88","PC89","PC90","PC91","PC92","PC93","PC94","PC95","PC96","PC97","PC98","PC99","PC100","PC101","PC102"
"80",-1.7704,7.4364,-1.3385,6.2176,3.3364,0.27272,-0.24541,0.51039,-1.3677,1.4186,-5.3458,1.1154,-8.6475,1.6622,-0.33548,1.4069,1.2218,-1.0278,2.1397,-3.4583,-0.13094,-0.79313,-0.29471,0.70804,-0.69213,2.6523,-0.97367,1.1199,-0.58029,1.6011,-0.31437,0.41857,-0.69834,1.3243,-0.04666,0.001886,0.19548,-0.66029,0.94204,-0.0474,-0.46713,0.070151,0.42077,-1.4028,0.52811,0.22922,0.23266,-0.65214,-0.17748,0.030432,0.014004,0.13775,0.39482,0.75924,-0.079475,-0.1007,-0.44181,0.10389,0.31154,0.10399,0.39074,0.24118,0.13087,-0.39853,-0.3779,-0.14573,-0.30585,0.1017,0.37247,0.088571,0.021652,0.030435,0.078869,0.038527,0.035122,0.10103,-0.071587,-0.070591,-0.22104,-0.093523,-0.32155,-0.16548,0.10431,0.078693,0.19969,0.084303,0.11673,0.15654,0.12145,0.098964,-0.013724,-0.12196,-0.07881,-0.049726,-0.18289,-0.015819,-0.037245,0.0080719,0.027837,0.035967,0.040152,-1.5127e-15
"140",-5.9491,-4.115,0.30534,-1.9686,0.12064,1.6008,-0.51088,6.4847,3.2138,0.27233,0.090232,1.1159,-0.55701,0.75006,-0.36015,-1.0564,-1.3053,0.23109,0.27161,-0.54207,0.2301,-0.73583,-1.8532,-0.97279,0.68619,1.1696,-0.28976,-1.9688,0.098521,-0.25908,-0.40835,-0.057807,0.7357,-1.2031,-0.018659,-0.21406,-0.44922,-0.42997,0.29195,-0.0075399,0.60714,-0.3774,0.13508,-0.2747,-0.33513,-0.15858,0.11638,-0.41839,0.32367,0.070315,-0.10961,-0.32907,0.093235,-0.080752,-0.56792,-0.16157,-0.7084,-0.16382,0.56789,0.16428,0.2977,-0.066346,-0.57757,0.032611,0.70029,0.28621,-0.073022,-0.052217,-0.2344,0.13534,-0.26542,0.44688,0.10589,0.17749,0.0021863,-0.10725,0.046431,-0.00026332,0.20077,0.022632,0.16065,0.10545,0.44844,-0.066585,0.070242,0.29154,-0.1734,-0.26805,0.17507,-0.0045066,-0.17374,-0.014492,0.13353,-0.073182,-0.24349,-0.17139,0.20533,-0.050054,0.20888,0.049677,-0.20806,-3.4694e-16
"230",-5.4329,-0.075689,-6.0584,2.1881,-1.5718,2.2522,0.22212,2.8318,-0.47118,-1.5292,1.0408,0.82482,-0.80815,-0.45641,-0.30989,-0.032099,-1.5075,0.49447,0.33566,0.026907,-2.3934,-1.8972,0.0067032,-0.3391,-0.68528,-0.55686,-0.01252,-0.56196,-0.69537,0.40009,-0.43328,-0.61011,-0.61145,-0.13724,0.2619,-0.00098951,0.069892,-0.068217,1.1196,-0.29343,-0.70871,-0.53407,-0.26105,0.30075,-0.89371,-0.6492,-0.64287,1.0306,-0.51657,-0.060399,-0.31986,0.35616,0.41367,0.20288,-0.10265,-0.41724,0.42927,-0.068076,-0.29527,0.019947,-0.12767,0.15497,0.23722,-0.21976,0.2295,0.24465,-0.027023,-0.29248,-0.025721,-0.064305,0.045344,-0.6232,-0.056477,0.37677,0.10099,0.08418,0.0073639,0.031032,-0.3778,0.04819,-0.038418,-0.23127,0.28199,-0.019518,-0.37729,0.22826,0.24732,-0.0078244,-0.022785,-0.23194,-0.049766,-0.18415,0.24702,0.25771,2.6859e-05,-0.0088834,0.13455,0.027471,-0.1318,0.27419,0.008034,-7.4246e-16
"250",-3.0384,12.711,-0.85946,5.1564,-2.6198,1.4058,-1.4067,-2.1986,5.0079,4.1775,-1.4615,0.19902,1.8648,-0.98098,1.3318,-0.56143,1.1159,-4.0528,2.1212,0.61528,-0.26518,-0.37519,2.2229,-2.2168,-0.87217,-0.40265,-0.045675,-0.40828,2.0593,0.95791,0.58735,-1.8747,0.019818,-0.28852,0.70821,0.24372,-0.21119,0.12779,0.17881,-0.22911,-0.54351,-0.15368,0.01197,0.50222,-0.11588,0.82289,-1.4652,-0.60066,-0.65458,0.027466,0.14888,-0.19069,0.12214,0.43814,0.17874,-0.35558,-0.34905,-0.18027,0.23624,0.029671,-0.049162,0.068769,-0.22541,0.25631,0.17291,0.17409,0.16189,0.14558,0.10558,-0.14516,0.24953,0.11356,0.10733,-0.16804,0.15179,-0.11926,-0.39582,0.24268,-0.13826,0.17986,0.28852,-0.29118,-0.41541,-0.16738,0.072326,0.066736,0.093263,0.10862,0.13035,-0.020249,-0.00015609,0.072349,0.1107,0.047597,-0.045766,-0.16882,-0.065866,-0.17113,-0.021564,-0.094064,-0.05402,1.0061e-15
"340",3.9827,17.199,1.7739,-1.1588,-0.3977,0.43892,-3.8541,0.81034,1.3973,4.0178,-0.90799,3.007,1.6009,-0.91779,2.4924,-3.4712,-2.3688,-3.7564,0.040087,-0.2498,-2.6165,-0.52626,2.4221,-2.1847,0.8271,-2.1262,-0.12933,0.062064,1.2249,-1.1503,-0.51492,1.3365,0.31585,1.1584,1.4827,-1.9022,0.10393,-0.38869,0.064923,0.33921,-0.51625,0.58929,0.025486,-0.37105,0.31336,0.23472,1.3543,0.20847,-0.5263,0.38647,0.51132,0.37675,-0.39253,-0.47134,-0.17955,-0.16973,-0.30438,0.58727,-0.49006,-0.52992,0.32703,-0.21455,-0.49086,-0.22902,-0.097833,0.24316,-0.0012162,-0.22577,0.13038,0.061564,0.012772,0.052665,-0.15808,0.078753,-0.27117,-0.11372,0.21535,-0.065715,0.036519,-0.02905,-0.17754,0.010626,0.043716,0.099087,0.074588,-0.034875,0.077384,-0.044647,-0.023796,-0.05304,-0.015092,0.026737,-0.043802,0.028473,-0.026648,0.069603,0.065363,0.056512,0.013839,0.08762,-0.00038404,2.2959e-15
"350",-5.4109,1.7276,-4.8246,1.2392,1.5403,-0.81928,0.31439,-1.5568,9.6404,6.2466,1.2798,-0.36212,0.20343,-0.37224,0.75327,0.18345,0.68698,0.67932,0.39586,-1.8649,1.1559,-1.1263,-0.22355,-1.1489,-1.2136,-0.12249,-2.0136,-0.41542,-1.453,-1.3244,-1.8604,1.9309,0.12053,-1.1525,-0.3455,0.44347,0.19799,-0.6198,0.14992,-0.52513,0.87738,-0.82247,-0.045113,0.71673,-0.051635,0.098361,0.11534,-0.07008,0.41377,0.24934,-0.2461,-0.33325,0.094797,0.48711,0.54354,0.38998,-0.20674,0.26669,-0.13565,0.34692,-0.024665,0.53192,0.15009,-0.16461,-0.089415,0.21766,0.068124,-0.28926,0.19491,-0.13968,-0.10962,-0.21857,0.067139,0.088021,-0.056318,0.053554,0.39102,0.13498,-0.022683,-0.049739,0.12665,-0.10504,-0.1868,0.29127,-0.077007,0.085664,0.14989,-0.0353,0.17248,0.15733,0.047823,0.29313,-0.063349,-0.14224,0.21387,0.061245,0.16839,0.021697,-0.070006,-0.039326,0.083266,-1.6653e-16
"400",-5.5803,-0.68142,-0.98179,-4.5922,0.77185,3.232,-1.9868,1.8818,-2.0841,1.3762,-0.086559,2.4267,-1.1375,1.6385,-0.18944,-0.39784,-2.2577,-0.39431,0.5013,-0.26613,-2.6398,-0.77993,-3.7729,0.17513,0.083015,0.7974,1.1517,-2.5162,0.60347,-0.36864,0.014351,-0.079342,-0.29266,-0.63676,0.051769,0.17621,-0.23618,0.1665,-0.054914,-0.23915,0.60072,-0.96769,0.089028,-0.30457,-0.22057,0.2027,-0.36251,-0.23438,-0.45406,-0.14093,-0.24232,0.098014,-0.15385,-0.2573,0.11675,-0.48947,-0.2282,0.02905,0.017777,-0.39093,0.33819,-0.067139,-0.16701,0.32248,-0.1083,-0.24663,0.16009,-0.081068,-0.058499,0.32953,0.17046,0.16436,-0.20143,0.1994,-0.027557,-0.023048,0.31078,0.26973,-0.27639,-0.40287,-0.058717,0.37894,-0.075606,-0.30594,0.12255,0.072999,0.24993,0.21668,-0.035584,0.19958,0.15645,0.02722,0.090039,0.045735,0.26246,0.016101,-0.24058,0.16554,-0.12508,-0.17419,0.03474,-6.6613e-16
"440",-7.7225,-3.1126,3.264,-1.0486,-0.81619,0.065469,-1.097,0.39331,1.0002,1.3612,-4.7592,-0.85886,2.3985,-0.25221,-0.075881,-2.6827,2.3901,-1.2194,-1.6695,0.24565,-0.56724,-2.013,-0.73407,1.1583,-0.55419,1.6896,-1.3909,-0.89222,-0.53304,-0.14927,0.78602,0.36641,0.52968,-1.405,0.48483,-0.1486,-0.39663,-1.0241,0.073688,-0.37383,0.2889,0.98979,-0.45873,-0.2897,0.89227,-0.038135,-0.13939,0.56717,0.24183,-0.2691,0.31471,-0.1616,-0.27986,0.24957,-0.16875,0.58575,0.54163,-0.36842,-0.30807,-0.20761,-0.36339,0.048771,-0.13222,-0.47307,-0.089681,0.31729,-0.055304,0.26043,0.16378,0.23675,0.17434,0.36791,-0.17141,-0.059305,-0.31232,0.095316,-0.42496,-0.05362,0.081556,0.043938,0.0067706,-0.2128,0.16893,-0.061983,-0.030349,0.32494,0.15281,-0.18269,-0.28379,-0.025485,0.21151,-0.13823,-0.010452,-0.18538,0.25176,0.031691,-0.20493,-0.095701,-0.091689,0.05882,-0.096364,1.0061e-15
"750",-4.3841,5.3505,-2.1132,-4.2055,3.0498,-2.1836,-0.19018,-2.985,-2.9066,4.1414,0.65363,3.3401,2.1578,-2.1709,0.77188,1.6211,-0.26977,-2.4702,2.9895,1.7822,-0.023337,0.9331,-2.1483,0.3029,-0.74986,2.2148,0.97314,0.84529,-1.1521,0.46683,-0.47761,-0.17851,-0.70175,-1.0121,0.74073,0.053713,1.036,0.41011,-0.0079339,0.81976,0.48419,0.20261,-0.29517,0.022252,-1.1057,0.39514,0.44663,0.45724,0.22159,0.15837,-0.27407,0.42295,-0.35417,0.12167,0.34139,0.27027,-0.45306,-0.22422,-0.20542,0.072074,-0.047198,0.10597,0.20976,0.19172,0.27573,-0.079642,0.65852,0.13194,-0.091179,0.41389,0.31951,-0.16205,-0.054316,0.39989,-0.33155,0.092844,-0.34664,-0.07583,0.44357,-0.10554,-0.16714,-0.24832,-0.10809,-0.024154,-0.061357,-0.2203,-0.15703,0.13852,0.083114,0.20494,-0.041544,-0.1168,0.038902,0.018907,-0.03255,0.16639,0.072749,-0.07153,0.081366,0.11428,-0.062548,4.4409e-16
"760",-4.6996,11.265,-1.5722,4.6317,5.0113,4.274,-2.1619,-4.3065,0.72835,2.8195,2.5176,-5.185,0.79043,4.11,3.0693,-1.6487,-2.3017,1.8706,-1.6085,0.13213,-1.6277,0.23698,-0.35184,0.074788,-0.44104,0.26185,-0.76277,-0.13939,-1.5103,-0.31064,-0.35083,-0.60884,1.8939,2.0465,0.78742,0.56813,0.6226,-0.36751,-0.74662,0.17088,0.54904,0.21785,0.28881,-0.60649,-0.79716,0.41658,-0.33901,1.1912,0.45479,0.38948,0.40249,-0.61258,0.62177,-0.15836,-0.2886,-0.16196,-0.47712,-0.1378,-0.28766,-0.37478,-0.28452,-0.1721,0.29107,-0.10372,0.039785,-0.28171,-0.50381,0.50267,-0.11101,-0.31483,-0.051109,0.12993,0.27145,0.26324,-0.092302,0.18727,-0.18184,0.094785,-0.068051,0.07469,0.095614,0.14159,0.020211,-0.020039,-0.069426,-0.014749,-0.22725,0.16477,0.071487,0.038666,0.091119,-0.065357,0.051043,-0.012494,-0.026672,0.03506,0.04023,-0.018875,-0.076271,-0.09771,-0.037234,-3.8858e-16
"900",-9.7247,0.97465,0.64519,-1.7052,-1.5993,0.87181,-0.036479,-2.5777,-2.7273,-0.01794,-1.7338,1.995,1.2858,-0.23673,-1.1141,-0.16594,0.26322,-2.5164,2.2252,0.59004,-1.1848,-1.7273,-2.875,1.1692,-1.7159,0.48114,0.33306,-0.50946,0.6171,-1.281,0.50668,0.65614,-1.1895,-0.72884,-0.31557,0.80809,0.34228,-0.087085,0.10956,-0.20277,-0.36307,0.30233,0.68352,-0.18259,0.53947,0.66951,-0.042485,-0.065422,0.50846,0.4407,-0.18513,-0.20117,0.50977,-1.089,0.18244,-0.32293,0.12978,0.13107,0.022638,0.0094279,-0.32426,0.12478,0.20516,0.24514,-0.030786,-0.26418,-0.26725,0.058174,-0.15357,-0.088259,-0.19339,-0.10701,-0.075721,-0.031715,-0.40876,0.25571,0.26138,-0.088401,-0.21506,0.48791,0.011655,-0.20684,-0.028799,0.041956,0.059529,-0.086902,-0.1149,0.1186,-0.26511,-0.31002,0.0041405,0.17527,-0.29739,0.038119,-0.080857,-0.25158,0.18974,0.04676,0.012166,-0.0359,-0.063936,-4.6491e-16
"910",-13.954,1.0632,-3.1405,-0.62056,-2.8656,-1.6132,1.881,2.7282,1.5774,-1.6766,0.18194,-0.39872,3.0847,2.4547,0.26337,0.41893,2.2176,0.31711,1.4421,-0.42628,0.1129,1.1412,-0.16961,1.3019,-0.048195,-1.1448,-0.21553,1.0586,0.58072,0.088345,-0.74575,0.51719,0.11566,0.037778,0.17762,0.11414,-0.60136,-0.28207,-1.416,-0.93224,0.11717,-0.26777,0.65772,-0.17904,0.085267,0.40414,0.16128,-0.50774,-0.16412,0.13736,-0.28692,-0.41459,0.2032,0.056433,-0.30457,-0.29243,-0.004415,-0.79916,-0.18051,-0.12978,0.14668,0.17933,0.19797,0.068628,-0.070665,0.20942,0.036702,0.10019,-0.34077,-0.53488,0.13297,0.09387,-0.25678,0.12844,-0.51005,-0.205,-0.0022477,-0.23354,0.12229,-0.33393,-0.31777,0.1203,0.011738,0.19312,0.063304,-0.33737,0.25692,-0.01849,-0.077572,-0.025783,-0.13331,-0.18695,0.29957,-0.096241,0.051006,-0.31692,0.027859,-0.13916,-0.029805,0.081121,0.16933,-2.9785e-15
"960",14.127,4.4275,-12.849,3.2102,4.0321,2.6534,0.33244,-1.9187,-1.1919,-3.6566,-1.6296,4.7481,3.7112,0.2381,-1.4846,2.3771,0.28936,0.8555,-2.4352,-0.22447,-0.83676,-0.5211,-1.0039,-0.95165,1.1968,-0.69319,-1.3714,-0.64127,1.2119,-0.96475,0.28937,0.21875,0.42773,2.138,-1.5863,0.23915,1.3311,-0.98327,1.2354,-0.37227,-0.43171,-0.68061,1.0567,0.89006,0.15227,-0.23363,0.57872,-0.2364,-0.46212,-0.78204,-0.26492,0.17884,0.20129,0.40983,0.049992,0.61839,-0.11773,-0.47853,-0.57411,0.082104,-0.55823,0.18523,-0.40766,-0.15859,0.31507,-0.17225,0.19254,0.083686,-0.18595,0.17001,0.20969,0.17108,0.0099737,-0.27776,-0.12018,0.080239,-0.13754,0.12118,0.070397,0.029448,0.012113,-0.00577,0.086883,-0.02617,0.036407,-0.046854,-0.0307,0.27094,-0.087086,0.12042,0.034852,0.0072649,0.03471,-0.049722,-0.046344,-0.043381,0.080496,0.0095659,0.057929,-0.036553,-0.020977,1.0547e-15
"1070",4.8758,-11.585,4.2627,0.051871,-4.7259,5.3115,1.1887,-1.4993,-1.5661,-3.7299,0.79135,-2.9965,0.38116,-5.5931,2.5648,-1.7836,-1.633,0.53239,1.3251,-5.8246,-3.5381,2.905,-1.2581,-2.0644,0.75796,0.83177,-0.98044,-0.093175,0.43476,0.3777,-0.70213,-0.42315,0.05633,0.46215,-0.34915,-0.61034,-0.83875,0.45398,-0.44098,0.82664,0.49628,-0.47145,0.036231,1.0399,-0.41256,0.18274,0.10362,-0.17182,-0.13433,-0.16833,0.39325,0.18824,0.36632,0.08852,-0.021744,0.025593,0.23309,-0.26089,0.63283,-0.11443,-0.52832,0.14726,0.19347,0.22802,-0.46469,0.044982,-0.25522,-0.087035,0.20261,0.29561,-0.23466,0.31516,-0.12647,-0.10732,-0.34467,0.11444,0.046754,-0.18336,0.070703,0.039092,-0.15474,-0.3277,-0.054339,-0.0067026,-0.13316,0.052559,-0.064698,-0.010181,-0.077714,-0.0171,-0.058094,0.064618,0.12108,-0.026818,-0.0093016,0.077775,0.0056269,-0.021761,0.013724,-0.05545,0.055494,-7.7716e-16
"1230",-2.4181,-6.0285,6.3253,-0.35475,-1.0896,-2.3827,-1.2805,-6.222,-0.24867,-4.8061,-0.39543,-1.5621,0.82061,0.05849,0.74872,1.2629,0.19693,-1.1341,1.4214,1.5654,-0.6242,-2.109,-0.80348,1.4124,-0.18428,-1.9721,-0.99752,-1.8115,-0.51855,-0.35355,1.2743,-0.79483,-0.047147,0.035425,-0.27245,1.5708,0.86923,-0.54133,0.42821,-0.23113,-0.43102,0.87426,-0.50541,0.75771,0.43934,0.19025,-0.41364,0.36147,0.0013747,-0.26476,0.69961,-0.1529,0.55448,-0.2567,-0.14848,0.00023035,-0.31765,0.22608,0.36605,-0.22926,0.18965,-0.19257,0.014745,-0.066547,-0.25837,-0.19288,-0.16298,-0.5441,0.55458,0.17768,-0.41269,-0.27605,0.047257,-0.11624,-0.25677,-0.41854,-0.09379,-0.080649,0.17848,-0.40774,-0.054255,0.15539,-0.005692,0.18661,0.00068698,-0.031014,0.20964,0.028903,0.15975,0.21293,-0.078563,-0.094316,0.021078,0.081628,0.0013345,0.10003,0.11332,-0.14617,0.1844,-0.026584,-0.016426,1.7382e-15
"1410",8.6715,3.103,-1.5186,2.0309,7.2817,-1.678,-0.84444,0.46859,-0.34313,-3.8041,-0.20823,-2.4538,-4.8923,3.1223,2.9087,0.68931,2.5091,-1.2273,-0.17853,1.9033,-0.77007,1.209,-1.6151,-1.6911,-0.49345,-1.0958,0.86578,1.3235,1.4202,-0.28228,-0.72313,0.50404,0.20569,-1.1112,-1.8928,-0.78814,0.57415,-0.13255,0.93317,-0.10285,0.59195,-0.8359,-0.85835,-0.75406,-0.024522,0.89019,-0.53405,0.37593,-0.59744,-0.17951,0.38915,-0.43912,-0.3582,0.17717,0.86768,0.099653,0.00098191,-0.32017,0.08769,-0.89841,-0.1426,-0.39163,0.27191,0.052066,-0.058802,0.39299,0.13704,0.15323,0.15711,0.35817,0.017648,-0.17064,0.1908,-0.173,-0.033516,0.051048,-0.080618,-0.14531,0.071002,0.054862,0.064011,0.18244,0.16824,0.057307,0.059494,-0.045668,-0.11004,-0.28322,-0.10027,-0.10795,-0.081003,0.075518,-0.0022807,0.03752,0.032627,-0.0023537,0.13776,-0.0055736,-0.048452,-0.015218,0.064746,2.1719e-15
"1470",2.5333,-4.3386,1.1698,2.4848,0.045473,-5.4775,1.6579,-1.2134,-4.531,0.13781,-1.713,-4.7804,-2.6734,-0.45664,-0.18751,-0.12738,1.8189,-0.89702,0.98967,0.46034,2.2322,2.1616,-0.89376,1.5373,0.49413,-0.69633,-0.42876,0.47769,-0.34762,-0.41055,-0.80992,-1.3766,0.74786,-1.438,1.5061,0.0056061,-0.29008,-0.23023,1.5169,-0.44176,-0.21716,-0.37892,0.71378,0.98303,0.15293,0.77165,0.50874,0.2657,-0.43612,0.05452,0.09541,-0.24897,-0.3012,0.17945,-0.52799,0.064694,0.15578,-0.33934,-0.54111,0.044179,0.29628,-0.54471,-0.78127,0.10942,-0.15277,-0.041309,-0.56156,-0.066088,0.074331,-0.18606,0.14404,-0.23183,-0.15119,0.15248,0.01309,0.18247,0.14598,0.0064004,0.21854,0.10909,-0.1401,0.088188,-0.24811,-0.20928,-0.25584,0.21631,-0.074076,0.19363,0.056448,-0.018997,0.063746,0.12243,0.097004,-0.14012,-0.046665,-0.031701,0.052229,0.21688,0.051576,0.0096842,0.016062,5.6292e-16
"1510",4.4466,-10.89,5.6134,10.501,2.8757,-1.0504,1.2196,6.4963,-1.6438,-0.29582,4.1784,2.8626,0.4245,-1.5777,2.5999,-0.189,-0.90267,-0.65929,1.437,0.27274,0.22841,-0.3624,1.0522,0.94669,1.163,0.81269,0.021225,-1.5643,-0.48707,-0.011059,-0.14303,0.030078,0.20932,0.65139,0.73816,0.081717,-0.35194,-0.31341,0.86692,-0.36226,-0.32795,0.043261,0.20703,-0.58117,-0.90239,0.1759,0.17158,-0.11987,-0.087504,-0.48296,-0.13476,0.031486,0.32542,-0.66203,-0.21697,0.19477,0.44714,-0.16446,-0.58176,-0.088805,0.31667,-0.02983,0.57881,0.35512,-0.19355,-0.046485,0.060892,0.30103,0.0013382,0.10148,0.22041,-0.23662,0.43791,-0.12683,0.07688,-0.23747,-0.32236,0.25215,0.033468,-0.43015,0.12099,-0.26443,0.023167,0.35493,-0.074963,-0.0012129,-0.0089137,-0.24247,-0.12937,-0.030807,-0.038303,0.33745,-0.075011,-0.17825,-0.047066,-0.13207,-0.10837,0.1148,0.078635,-0.07673,0.01812,5.8287e-16
"1570",10.453,-7.9197,-1.8907,-6.6483,1.514,-7.3531,0.25735,-1.9734,6.0345,-0.63258,4.7793,0.8839,1.1172,5.3401,-1.3423,-0.80078,-1.4765,1.4193,0.5531,-2.206,-1.7997,-0.19446,-0.34188,1.024,-0.69642,-0.76299,1.1984,-0.045006,0.9745,1.806,-0.51869,-0.16975,-0.043811,-0.47305,-0.083139,0.70787,-0.9568,-0.70736,-0.13849,-0.9463,-0.4609,0.32359,0.33026,-0.57737,0.025369,0.062483,0.2172,-0.14247,0.47685,-0.18399,0.052532,0.42736,-0.37592,-0.093546,0.46493,-0.23386,-0.40894,-0.13753,-0.79185,0.37758,-0.26976,-0.49347,0.13277,-0.15062,-0.067318,-0.012614,-0.060458,-0.36866,0.24503,0.075665,-0.16505,0.36438,-0.51545,-0.25729,0.0031672,0.26499,-0.45956,-0.30592,-0.15261,-0.16406,0.11536,-0.18633,-0.12222,-0.14387,-0.14565,-0.0046416,-0.14275,-0.080188,0.13227,-0.0072167,-0.042911,0.14781,-0.027497,0.10979,-0.13712,0.091696,-0.021323,0.10142,-0.0037978,0.021484,-0.00075024,-1.9984e-15
